Count  Overhead File                                                   Line Function
     2         2 @LinearAlgebra\src\transpose.jl                         110 transpose_f!(f::typeof(adjoint), B::Matrix{ComplexF64}, A::Matrix{ComplexF64})
     2         2 @ChainRules\src\rulesets\Base\indexing.jl               271 ∇eachslice(dys_raw::Vector{Matrix{ComplexF64}}, x::Array{ComplexF64, 3}, vd::Val{1})
     2         2 @LinearAlgebra\src\blas.jl                             1505 gemm!(transA::Char, transB::Char, alpha::Float64, A::Base.ReinterpretArray{Float64, 2, ComplexF64, Matrix{ComplexF64}, false}, B::Matrix{Float64}, beta::Float64, C::Base.ReinterpretArra…
     2         0 @Base\abstractarray.jl                                   42 size
     2         2 @LinearAlgebra\src\matmul.jl                            570 gemm_wrapper!(C::Matrix{Float64}, tA::Char, tB::Char, A::Matrix{Float64}, B::Matrix{Float64}, _add::LinearAlgebra.MulAddMul{true, true, Bool, Bool})
     2         0 @Base\complex.jl                                        294 +
     2         2 @LinearAlgebra\src\transpose.jl                         100 transpose_f!(f::typeof(transpose), B::Matrix{ComplexF64}, A::Matrix{ComplexF64})
     2         0 @Base\broadcast.jl                                     1000 copyto!
     2         0 @Base\broadcast.jl                                      983 preprocess
     2         0 @Base\broadcast.jl                                      986 preprocess_args
     2         0 @Base\broadcast.jl                                      984 preprocess
     2         0 @Base\broadcast.jl                                      676 extrude
     2         0 @Base\broadcast.jl                                      625 newindexer
     2         0 @Base\broadcast.jl                                      626 shapeindexer
     2         0 @Base\broadcast.jl                                      631 _newindexer
     2         0 @Base\broadcast.jl                                      549 _bcs
     2         2 @LinearAlgebra\src\lapack.jl                            557 getrf!(A::Matrix{ComplexF64}; check::Bool)
     2         0 @GfPEPS\src\lib\GaussianMap.jl                           84 Γ_fiducial
     2         0 @Base\array.jl                                          723 _array_for
     2         0 @Base\abstractarray.jl                                 2828 _typed_stack(::Colon, ::Type{ComplexF64}, ::Type{Matrix{ComplexF64}}, A::Vector{Matrix{ComplexF64}}, Aax::Tuple{Base.OneTo{Int64}})
     2         0 @Base\abstractarray.jl                                 1117 copyto!
     2         2 @Base\abstractarray.jl                                    ? _stack_size_check
     2         2 @Base\abstractarray.jl                                    ? iterate
     2         0 @Base\array.jl                                          896 collect_to!
     2         0 @LinearAlgebra\src\generic.jl                          1349 _istril
     2         1 @Base\abstractarray.jl                                 2103 typed_hvcat(::Type{ComplexF64}, ::Tuple{Int64, Int64}, ::Matrix{Float64}, ::Vararg{AbstractVecOrMat})
     2         2 @Base\cartesian.jl                                       65 macro expansion
     2         2 @LinearAlgebra\src\matmul.jl                            610 gemm_wrapper!(C::Matrix{ComplexF64}, tA::Char, tB::Char, A::Matrix{ComplexF64}, B::Matrix{Float64}, _add::LinearAlgebra.MulAddMul{true, true, Bool, Bool})
     2         0 @Zygote\src\compiler\reverse.jl                          24 gradindex(x::Tuple{Nothing, ChainRulesCore.InplaceableThunk{ChainRulesCore.Thunk{ChainRules.var"#554#559"{Matrix{Float64}, Matrix{Float64}}}, ChainRules.var"#553#558"{Matrix{Float64}, M…
     2         0 @Base\iterators.jl                                      428 _zip_iterate_some
     2         0 @ChainRules\src\rulesets\Base\array.jl                  640 (::ChainRules.var"#stack_pullback#546"{ChainRulesCore.ProjectTo{AbstractArray, @NamedTuple{elements::Vector{ChainRulesCore.ProjectTo{AbstractArray, @NamedTuple{element::ChainRulesCore.P…
     2         0 @ChainRules\src\rulesets\LinearAlgebra\dense.jl          15 (::ChainRules.var"#1020#1023"{ComplexF64, Array{ComplexF64, 3}, Array{ComplexF64, 3}, ChainRulesCore.ProjectTo{AbstractArray, @NamedTuple{element::ChainRulesCore.ProjectTo{ComplexF64, @…
     2         2 @Base\int.jl                                             88 *
     2         2 @LinearAlgebra\src\matmul.jl                           1168 _tri_matmul
     2         0 @Base\abstractarray.jl                                 1214 iterate
     2         0 @Base\subarray.jl                                       309 getindex
     2         1 @Base\tuple.jl                                           92 indexed_iterate(t::Tuple{Float64, Zygote.Pullback{Tuple{GfPEPS.var"#loss#61"{InfiniteRectLattice, Int64, Int64, GfPEPS.var"#energy#59"{Array{ComplexF64, 3}, Float64, Float64}, Array{Com…
     3         0 @Base\essentials.jl                                     889 invokelatest
     3         0 @LinearAlgebra\src\generic.jl                          1112 \(A::LinearAlgebra.Adjoint{ComplexF64, Matrix{ComplexF64}}, B::Matrix{ComplexF64})
     3         3 @Base\array.jl                                            ? iterate
     3         0 @Base\float.jl                                          623 isfinite
     3         3 @Base\float.jl                                          410 -
     3         3 @Base\tuple.jl                                           31 getindex
     3         0 @LinearAlgebra\src\lapack.jl                            561 getrf!(A::Matrix{ComplexF64}; check::Bool)
     3         3 @Base\abstractarraymath.jl                              253 _selectdim(A::Array{ComplexF64, 3}, d::Int64, i::Int64, idxs::Tuple{Int64, Base.Slice{Base.OneTo{Int64}}, Base.Slice{Base.OneTo{Int64}}})
     3         0 @Base\broadcast.jl                                      543 broadcast_shape
     3         3 @ChainRulesCore\src\projection.jl                       221 (::ChainRulesCore.ProjectTo{AbstractArray, @NamedTuple{element::ChainRulesCore.ProjectTo{Float64, @NamedTuple{}}, axes::Tuple{Base.OneTo{Int64}, Base.OneTo{Int64}}}})(dx::SubArray{Compl…
     3         0 @ChainRulesCore\src\projection.jl                       240 (::ChainRulesCore.ProjectTo{AbstractArray, @NamedTuple{elements::Vector{ChainRulesCore.ProjectTo{AbstractArray, @NamedTuple{element::ChainRulesCore.ProjectTo{ComplexF64, @NamedTuple{}},…
     3         0 @Base\array.jl                                          839 collect(itr::Base.Generator{Base.Iterators.Zip{Tuple{Vector{ChainRulesCore.ProjectTo{AbstractArray, @NamedTuple{element::ChainRulesCore.ProjectTo{ComplexF64, @NamedTuple{}}, axes::Tuple…
     3         0 @GfPEPS\src\lib\loss.jl                                  30 energy
     3         0 @ChainRules\src\rulesets\LinearAlgebra\dense.jl          18 rrule
     3         0 @LinearAlgebra\src\matmul.jl                             16 dot
     3         0 @LinearAlgebra\src\blas.jl                              395 dotc(x::Array{ComplexF64, 3}, y::Array{ComplexF64, 3})
     3         3 @LinearAlgebra\src\blas.jl                              362 dotc
     3         0 @Base\abstractarray.jl                                 2827 _typed_stack(::Colon, ::Type{ComplexF64}, ::Type{Matrix{ComplexF64}}, A::Vector{Matrix{ComplexF64}}, Aax::Tuple{Base.OneTo{Int64}})
     3         0 @LinearAlgebra\src\generic.jl                          1114 \(A::Matrix{ComplexF64}, B::LinearAlgebra.Transpose{Float64, Matrix{Float64}})
     3         0 @LinearAlgebra\src\generic.jl                          1341 istril
     3         0 @LinearAlgebra\src\generic.jl                          1342 istril(A::Matrix{ComplexF64}, k::Int64)
     3         0 @Base\abstractarray.jl                                 1395 setindex!
     3         0 @Base\multidimensional.jl                               944 _setindex!
     3         0 @Base\multidimensional.jl                               967 _unsafe_setindex!(::IndexLinear, ::Array{ComplexF64, 3}, ::Matrix{ComplexF64}, ::Int64, ::Base.Slice{Base.OneTo{Int64}}, ::Base.Slice{Base.OneTo{Int64}})
     3         0 @Base\multidimensional.jl                               955 macro expansion
     3         1 @LinearAlgebra\src\matmul.jl                           1174 _tri_matmul
     3         0 @Base\iterators.jl                                      430 _zip_iterate_some
     3         3 @Base\iterators.jl                                      432 _zip_iterate_some
     3         3 @Base\simdloop.jl                                        84 macro expansion
